TEAM,CONF,W,BARTHAG,PRED_PROB,MADE_TOURNEY,POSTSEASON
Penn St.,B10,14,0.8755,0.698,0,
Nevada,MWC,29,0.8618,0.698,1,R64
VCU,A10,25,0.8838,0.682,1,R64
Clemson,ACC,20,0.8773,0.672,0,
Saint Mary's,WCC,22,0.8637,0.666,1,R64
Iowa,B10,23,0.8385,0.663,1,R32
Marquette,BE,24,0.8524,0.659,1,R64
Syracuse,ACC,20,0.8622,0.656,1,R64
Mississippi,SEC,20,0.8433,0.641,1,R64
Oregon,P12,25,0.8687,0.64,1,S16
North Carolina St.,ACC,24,0.8368,0.636,0,
Villanova,BE,26,0.8448,0.628,1,R32
TCU,B12,23,0.8486,0.627,0,
Baylor,B12,20,0.84,0.625,1,R32
Belmont,OVC,27,0.8138,0.597,1,R64
Utah St.,MWC,28,0.8329,0.592,1,R64
Nebraska,B10,19,0.8285,0.58,0,
Minnesota,B10,22,0.8284,0.564,1,R32
Creighton,BE,20,0.8229,0.56,0,
Ohio St.,B10,20,0.8329,0.538,1,R32
New Mexico St.,WAC,30,0.8155,0.532,1,R64
Arkansas,SEC,18,0.8046,0.509,0,
Memphis,Amer,22,0.7973,0.508,0,
Lipscomb,ASun,29,0.7929,0.506,0,
Indiana,B10,19,0.802,0.463,0,
Murray St.,OVC,28,0.7852,0.462,1,R32
Temple,Amer,23,0.7866,0.458,1,R68
Washington,P12,27,0.8097,0.457,1,R32
Dayton,A10,21,0.7915,0.454,0,
Alabama,SEC,18,0.7931,0.45,0,
South Carolina,SEC,16,0.7861,0.449,0,
Missouri,SEC,15,0.8011,0.445,0,
Wichita St.,Amer,22,0.7946,0.441,0,
Arizona St.,P12,23,0.775,0.434,1,R64
Seton Hall,BE,20,0.7749,0.415,1,R64
Illinois,B10,12,0.7633,0.413,0,
Xavier,BE,19,0.7748,0.412,0,
Furman,SC,25,0.7788,0.402,0,
Toledo,MAC,25,0.7686,0.398,0,
Miami FL,ACC,14,0.7632,0.382,0,
Colorado,P12,23,0.7584,0.36,0,
San Francisco,WCC,21,0.7383,0.345,0,
Butler,BE,16,0.7394,0.338,0,
UC Irvine,BW,31,0.7458,0.323,1,R32
Providence,BE,18,0.7446,0.318,0,
USC,P12,16,0.7164,0.312,0,
Liberty,BSth,29,0.7428,0.31,1,R32
Yale,Ivy,22,0.7034,0.302,1,R64
